week,letter,day,classes,room,lesson,notes,hwk,event,time,break,lunch
7,A,THU,10CS,G4,2,COVER: IF-ELSE lesson posted on Go4 lesson 2/2,*, ,0955  1100, , 
7,A,THU,PPA,-,3,..., , ,1100  1220, , 
7,A,THU,9Y1.CS,B8,4,COVER: Y9 Autumn 1 Lesson 6 - Data Compression - lesson posted on Go4,*, ,1220  1355, ,12:20
7,A,THU,7Y1.CS,B8,5,COVER: Y7 Autumn 1 Lessn 4 - Digital footprint - lesson posted on Go4,*, ,1355  1510, , 
7,A,FRI,7X2.Ph,B6,1,"COVER: P1.3 Drag and Friction, Activate 1, p116-117, Read the pages, then do tasks A-D and Q1-4, with illustrations for 4", , ,0850  0955, , 
7,A,FRI,10T2,B8,2,"COVER: Momentum, conservation of - Collisions and explosions - lesson posted on Go4",*, ,0955  1100, , 
7,A,FRI,11C2,G4,3,COVER: Exam technique - Exemplar GCSE answers posted on Go4 , , ,1100  1220,11:40, 
7,A,FRI,11CS,G4,4,"COVER: SECURING NETWORK DATA 1/2, lesson posted on Go4",*, ,1220  1355, ,13:25
7,A,FRI,11CS,G4,5,"COVER: SECURING NETWORK DATA 2/2, lesson posted on Go4", , ,1355  1510, , 
8,B,MON,10C3,B8,1,COVER: Introduction to Momentum - posted on Go4, ,briefing,0850  0955, , 
8,B,MON,11T2,B8,2,COVER: Magnets and fields - lesson posted on Go4,*, ,0955  1100, , 
8,B,MON,7X1.Ph,B8,3,"COVER - Y7 Forces, Friction - lesson posted on Go4",*, ,1100  1220,11:00, 
8,B,MON,PPA,-,4,..., , ,1220  1355, , 
8,B,MON,10CS,B8,5,"COVER: WHILE loops , lesson posted on Go4", , ,1355  1510, , 
8,B,TUE,10C3,B8,1,"COVER: Momentum, conservation of - Collisions and explosions - lesson posted on Go4", , ,0850  0955, , 
8,B,TUE,9Y1.CS,G4,2,"COVER: Y9 Aut1 assignment on TAW MS O365 Teams - students go to Office365/Teams/Teams/9y1/Cs and see the assessment in the Assignments tab. They can click on the Class Notebook tab, and enter work on the page I created for them there.", , ,0955  1100, , 
8,B,TUE,11C2,B8,3,COVER: Magnets and fields - lesson posted on Go4, , ,1100  1220,11:40, 
8,B,TUE,11T2,G4,4,COVER - Electromagnetism - lesson posted on Go4, , ,1220  1355, ,13:25
8,B,TUE,8Y1.Ph,B8,5,COVER: An extension checkpoint task on the space topic from Kerboodle has been posted on Go4, , ,1355  1510, , 
8,B,WED,11C2,B8,1,COVER - Electromagnetism - lesson posted on Go4 , , ,0850  0955, , 
8,B,WED,10T2,B5,2,COVER: Momentum - Force and time in collisions - lesson attached to email, , ,0955  1100, , 
8,B,WED,9Y2.Ph,B3,3,"P2 3.4 Pressure in Liquids, read p164-165, do tasks A & B, draw diagram at the bottom of p165, complete summary questions 1-3", ,break duty,1100  1220,11:00, 
8,B,WED,11CS,G4,4,COVER: Network protocols and layers - lesson 1/2, , ,1220  1355, ,13:25
8,B,WED,11CS,G4,5,COVER: Network protocols and layers - lesson 2/2, , ,1355  1510, , 
8,B,THU,8Y1.Ph,B8,1,COVER: End of topic test - SPACE, ,briefing,0850  0955, , 
8,B,THU,10C3,B8,2,"COVER: Momentum - force and time in collisions, lesson posted on Go4",*, ,0955  1100, , 
8,B,THU,10T2,B8,3,COVER - Forces / Stopping distances - lesson posted on go4, , ,1100  1220,11:20, 
8,B,THU,7Y1.Ph,B5,4,"COVER - Y7 Forces, Friction - lesson posted on Go4", , ,1220  1355, ,12:20
8,B,THU,8X1.Ph,B3,5,COVER: End of topic test - SPACE,*, ,1355  1510, , 
8,B,FRI,PPA,-,1,..., , ,0850  0955, , 
8,B,FRI,11T2,B8,2,COVER: MS Forms Research tasks posted on Go4 - 'AC vs DC', , ,0955  1100, , 
8,B,FRI,PPA,-,3,..., , ,1100  1220, , 
8,B,FRI,10CS,G4,4,COVER: Python Lists 1/2 - Lesson posted on Go4, , ,1220  1355, ,12:50
8,B,FRI,10CS,G4,5,COVER: Python Lists 2/2 - Lesson posted on Go4, , ,1355  1510, , 
9,A,MON,11CS,G4,1,COVER: Pinging network devices - lesson posted on Go4, ,briefing,0850  0955, , 
9,A,MON,10C3,B8,2,COVER: Stopping distances - lesson posted on Go4, , ,0955  1100, , 
9,A,MON,7X2.Ph,B6,3,COVER: Use the Checkpoint doc attached to email with Activate 1 books to review Forces learning - this can roll over to next lesson, ,break duty,1100  1220,11:00, 
